serialNum,search_url,url,name_eng,name,genres,length,year,imdb_score,downloads,producer,actors
6106,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6106,Martin Lawrence - Live at Runteldat,מרטין לורנס - חי ברנטלדט,סטנדאפ,113,2006,4.8,432,דוויד ריינר,מרטין לורנס
6105,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6105,Love for Rent,אהבה להשכרה,קומדיה רומנטית,90,2005,6.9,856,שיין אדלמן,אנג'י קפדה;קן מרינו;נורה דאן;ג'ים פידוק;בראד ראו;האנטר ג'ונסון;לילי בירדסאל
5925,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5925,Mrs. Haris,גברת האריס,דרמה,94,2005,6,469,פיליס נגי,אנט בנינג;בן קינגסלי
5927,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5927,The Lost Boys,נשיכות קטנות,קומדיה;אימה,97,1985,7,308,ג'ואל שומכר,ג'ייסון פטריק;קורי היים;דיאנה וויסט;אדוארד הרמן;קיפר סתרלנד
6109,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6109,Stay,הישאר,מתח,99,2005,6.8,492,מארק פורסטר,יואן מק'גרגור;נעמי ווטס;ראיין גוסלינג;ג'נין גארופולו;בוב הוסקינס;אליזבת' ריזר;קייט ברטון;בי.די וונג
5928,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5928,Consequence,השלכות גורליות,פעולה;מתח;פשע,97,2003,4.8,104,אנתוני היקוקס,ארמנד אסנטה;לולה גלאודיני;ריק שרודר;דני קו;נדיה קרצ'מר;גרנט סוואנבי;ויקטוריה מאריץ;ברנדן פולקט
5930,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5930,Giv'at Halfon Eina Ona,גבעת חלפון אינה עונה,ישראלי,92,1975,8,669,אסי דיין,גברי בנאי;שייקה לוי;פולי פוליאקוב;חנה לסלאו;טוביה צפיר;ניצה שאול;מיקי קם
5932,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5932,Taxi 2,טקסי 2,פעולה;קומדיה,88,2000,6.2,"1,022",ז'ראר קרוציק,סמי נסארי;פרדריק דיפאנתל;מריון קוטילרד;אמה סיוברג;ברנרד פרסי
5937,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5937,The Hunt for Eagle One: Crash Point,המצוד אחר נשר אחד: התרסקות,פעולה;הרפתקאות,86,2006,3.8,892,הנרי קראם,מארק דקסקוס;תרזה רנדל;רוטגר האוור;ג'ף פאהי;זאק מקגוון
5939,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5939,Kelly's heroes,נועזים בעורף האויב,פעולה;קומדיה,144,1970,7.5,384,בריאן ג. הוטון,קלינט איסטווד;דונלד סטרלנד
5947,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5947,It Had To Be You,לתפוס את החתן,קומדיה;רומנטיקה,,2000,5.6,343,פאדר סטיבן,מייקל ורטן;נטשה הנסטרידג';מייקל ריספולי
5950,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5950,Bring It On: All or Nothing,מעודדות צמודות ביותר,קומדיה;נעורים,99,2006,5.6,"1,897",סטיב ראש,היידן פניטייר;סולנג נוולס-סמית';ריהנה;ג'ייק מקדורמן;ג'ניפר בלושי;גאס קר;סינדי צ'ו;ג'יסקה פייפ
5951,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5951,‏(Les Revenants (They Came Back,הם חזרו,מדע בדיוני;מתח;פנטזיה;זר,102,2004,5.9,173,רובין קמפילו,ג'ירולדי פאייאס;ג'ונתן זקאיי;פאדריק פירוט;ויקטור גארווהיר;קאטרין סאימי;דג'אמל בארק;מארי מטרון
5960,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5960,Sorry Haters,שימותו הקנאים,מתח פסיכולוגי;דרמה,86,2005,6.3,418,ג'ף סטנצלר,רובין רייט פן;אבדל קאצ'יץ';סנדרה או;אלודי בושה;ג'ים ריאן;פרד דרסט;סטרלה בנפורד
5964,http://www.torec.net/movies_subs.asp?p=581,http://www.torec.net/sub.asp?sub_id=5964,I'll Always Know What You Did Last Summer,אני תמיד אדע מה עשית בקיץ האחרון,אימה;מתח,91,2006,3.6,"1,783",סלאבין וייט,סאלי אן ברוקס;טורי דה ויטו;בן איסטר;ברוק נווין;דיוויד פאטקו;בריט לירי
6173,http://www.torec.net/movies_subs.asp?p=576,http://www.torec.net/sub.asp?sub_id=6173,Sea Of Love,ים של אהבה,מתח;דרמה,112,1989,6.7,471,הרולד בקר,אל פאצ'ינו;אלן בארקין;ג'ון גודמן
6178,http://www.torec.net/movies_subs.asp?p=576,http://www.torec.net/sub.asp?sub_id=6178,American Wedding,אמריקן פאי: החתונה,קומדיה;נעורים,103,2003,6.2,"1,560",ג'סי דילן,ג'ייסון ביגס;אליסון האניגן;שון וויליאם סקוט;אדי קיי תומאס;תומאס איאן ניקולס;ג'נוארי ג'ונס;יוג'ין לוי;פרד ווילארד;מולי צ'יק;אמנדה סוויסטן;ניקי שילר זירינג
